IP地址,采集时间,内存使用率
10.185.10.32,2017/1/8 1:00,98.41
10.185.10.32,2017/1/8 1:10,91.71
10.185.10.32,2017/1/8 1:25,99.77
10.185.10.32,2017/1/8 1:35,92.44
10.185.10.32,2017/1/8 1:50,94.62
10.185.10.32,2017/1/8 2:05,96.72
10.185.10.32,2017/1/8 2:15,93.16
10.185.10.32,2017/1/8 2:30,98.97
10.185.10.32,2017/1/8 2:40,90.23
10.185.10.32,2017/1/8 2:55,96.46
10.185.10.32,2017/1/8 3:10,96.07
10.185.10.32,2017/1/8 3:20,93.28
10.185.10.32,2017/1/8 3:35,93.64
10.185.10.32,2017/1/8 3:45,97.70
10.185.10.32,2017/1/8 4:00,91.60
10.185.10.32,2017/1/8 4:15,99.04
10.185.10.32,2017/1/8 4:25,98.19
10.185.10.32,2017/1/8 4:40,96.44
10.185.10.32,2017/1/8 5:05,95.40
10.185.10.32,2017/1/8 5:20,99.95
10.185.10.32,2017/1/8 5:30,93.59
10.185.10.32,2017/1/8 5:45,96.08
10.185.10.32,2017/1/8 5:55,98.94
10.185.10.32,2017/1/8 6:10,92.17
10.185.10.32,2017/1/8 6:25,93.18
10.185.10.32,2017/1/8 6:35,98.45
10.185.10.32,2017/1/8 6:50,95.47
10.185.10.32,2017/1/8 7:00,91.02
10.185.10.32,2017/1/8 7:15,98.31
10.185.10.32,2017/1/8 7:30,92.43
10.185.10.32,2017/1/8 7:40,96.53
10.185.10.32,2017/1/8 7:55,96.12
10.185.10.32,2017/1/8 8:05,95.18
10.185.10.32,2017/1/8 8:20,97.98
10.185.10.32,2017/1/8 8:35,93.93
10.185.10.32,2017/1/8 8:45,99.64
10.185.10.32,2017/1/8 9:00,93.40
10.185.10.32,2017/1/8 9:25,96.67
10.185.10.32,2017/1/8 9:40,98.09
10.185.10.32,2017/1/8 9:50,93.90
10.185.10.32,2017/1/8 10:05,98.49
10.185.10.32,2017/1/8 10:15,95.51
10.185.10.32,2017/1/8 10:30,97.30
10.185.10.32,2017/1/8 10:45,97.20
10.185.10.32,2017/1/8 10:55,92.06
10.185.10.32,2017/1/8 11:10,93.44
10.185.10.32,2017/1/8 11:20,92.11
10.185.10.32,2017/1/8 11:35,91.98
10.185.10.32,2017/1/8 12:00,94.74
10.185.10.32,2017/1/8 12:10,90.43
10.185.10.32,2017/1/8 12:25,93.51
10.185.10.32,2017/1/8 12:35,99.65
10.185.10.32,2017/1/8 12:50,97.00
10.185.10.32,2017/1/8 13:05,95.46
10.185.10.32,2017/1/8 13:15,91.91
10.185.10.32,2017/1/8 13:30,93.71
10.185.10.32,2017/1/8 13:40,95.27
10.185.10.32,2017/1/8 13:55,99.27
10.185.10.32,2017/1/8 14:10,97.19
10.185.10.32,2017/1/8 14:20,94.66
10.185.10.32,2017/1/8 14:35,91.17
10.185.10.32,2017/1/8 14:45,95.66
10.185.10.32,2017/1/8 15:00,95.75
10.185.10.32,2017/1/8 15:15,98.49
10.185.10.32,2017/1/8 15:25,92.80
10.185.10.32,2017/1/8 15:40,91.23
10.185.10.32,2017/1/8 15:50,99.83
10.185.10.32,2017/1/8 16:05,97.84
10.185.10.32,2017/1/8 16:20,90.90
10.185.10.32,2017/1/8 16:30,98.65
10.185.10.32,2017/1/8 16:45,96.72
10.185.10.32,2017/1/8 16:55,90.00
10.185.10.32,2017/1/8 17:10,97.96
10.185.10.32,2017/1/8 17:25,99.46
10.185.10.32,2017/1/8 17:35,99.03
10.185.10.32,2017/1/8 17:50,93.43
10.185.10.32,2017/1/8 18:00,93.47
10.185.10.32,2017/1/8 18:15,94.60
10.185.10.32,2017/1/8 18:30,96.99
10.185.10.32,2017/1/8 18:40,96.39
10.185.10.32,2017/1/8 18:55,99.24
10.185.10.32,2017/1/8 19:05,97.80
10.185.10.32,2017/1/8 19:20,92.75
10.185.10.32,2017/1/8 19:35,98.91
10.185.10.32,2017/1/8 19:45,91.43
10.185.10.32,2017/1/8 20:00,95.05
10.185.10.32,2017/1/8 20:10,91.80
10.185.10.32,2017/1/8 20:25,92.63
10.185.10.32,2017/1/8 20:40,90.31
10.185.10.32,2017/1/8 20:50,91.10
10.185.10.32,2017/1/8 21:05,93.65
10.185.10.32,2017/1/8 21:15,99.82
10.185.10.32,2017/1/8 21:30,93.89
10.185.10.32,2017/1/8 21:45,98.86
10.185.10.32,2017/1/8 21:55,92.72
10.185.10.32,2017/1/8 22:10,99.75
10.185.10.32,2017/1/8 22:20,94.37
10.185.10.32,2017/1/8 22:35,98.31
10.185.10.32,2017/1/8 22:50,94.30
10.185.10.32,2017/1/8 23:00,92.68
10.185.10.32,2017/1/8 23:15,90.08
10.185.10.32,2017/1/8 23:25,99.40
10.185.10.32,2017/1/8 23:40,95.84
10.185.10.32,2017/1/8 23:55,92.57
10.185.10.32,2017/1/9 0:05,98.10
10.185.10.32,2017/1/9 0:20,94.27
10.185.10.32,2017/1/9 0:30,92.79
10.185.10.32,2017/1/9 0:45,93.69
10.185.10.32,2017/1/9 1:00,92.20
10.185.10.32,2017/1/9 1:10,96.48
10.185.10.32,2017/1/9 1:25,92.64
10.185.10.32,2017/1/9 1:35,96.16
10.185.10.32,2017/1/9 1:50,97.57
10.185.10.32,2017/1/9 2:05,97.77
10.185.10.32,2017/1/9 2:15,95.77
10.185.10.32,2017/1/9 2:30,97.61
10.185.10.32,2017/1/9 2:40,94.66
10.185.10.32,2017/1/9 2:55,99.55
10.185.10.32,2017/1/9 3:10,96.10
10.185.10.32,2017/1/9 3:20,90.52
10.185.10.32,2017/1/9 3:35,95.30
10.185.10.32,2017/1/9 3:45,91.35
10.185.10.32,2017/1/9 4:00,94.83
10.185.10.32,2017/1/9 4:15,99.52
10.185.10.32,2017/1/9 4:25,95.89
10.185.10.32,2017/1/9 4:40,90.19
10.185.10.32,2017/1/9 4:50,98.98
10.185.10.32,2017/1/9 5:05,91.43
10.185.10.32,2017/1/9 5:20,99.46
10.185.10.32,2017/1/9 5:30,96.03
10.185.10.32,2017/1/9 5:45,92.95
10.185.10.32,2017/1/9 5:55,92.72
10.185.10.32,2017/1/9 6:10,97.31
10.185.10.32,2017/1/9 6:25,93.67
10.185.10.32,2017/1/9 6:50,98.10
10.185.10.32,2017/1/9 7:00,98.83
10.185.10.32,2017/1/9 7:15,98.01
10.185.10.32,2017/1/9 7:30,94.18
10.185.10.32,2017/1/9 7:40,90.55
10.185.10.32,2017/1/9 7:55,93.99
10.185.10.32,2017/1/9 8:05,96.99
10.185.10.32,2017/1/9 8:20,90.57
10.185.10.32,2017/1/9 8:35,92.15
10.185.10.32,2017/1/9 8:45,95.80
10.185.10.32,2017/1/9 9:00,96.82
10.185.10.32,2017/1/9 9:10,99.71
10.185.10.32,2017/1/9 9:25,90.56
10.185.10.32,2017/1/9 9:40,96.28
10.185.10.32,2017/1/9 9:50,94.34
10.185.10.32,2017/1/9 10:05,90.14
10.185.10.32,2017/1/9 10:15,97.46
10.185.10.32,2017/1/9 10:30,91.42
10.185.10.32,2017/1/9 10:45,94.40
10.185.10.32,2017/1/9 10:55,95.25
10.185.10.32,2017/1/9 11:10,94.52
10.185.10.32,2017/1/9 11:20,97.17
10.185.10.32,2017/1/9 11:35,94.91
10.185.10.32,2017/1/9 12:00,94.25
10.185.10.32,2017/1/9 12:10,97.66
10.185.10.32,2017/1/9 12:25,98.76
10.185.10.32,2017/1/9 12:35,95.21
10.185.10.32,2017/1/9 12:50,91.65
10.185.10.32,2017/1/9 13:05,94.77
10.185.10.32,2017/1/9 13:15,95.80
10.185.10.32,2017/1/9 13:30,90.04
10.185.10.32,2017/1/9 13:40,97.06
10.185.10.32,2017/1/9 13:55,98.38
10.185.10.32,2017/1/9 14:10,94.26
10.185.10.32,2017/1/9 14:20,99.61
10.185.10.32,2017/1/9 14:35,96.80
10.185.10.32,2017/1/9 14:45,92.26
10.185.10.32,2017/1/9 15:00,92.55
10.185.10.32,2017/1/9 15:15,95.13
10.185.10.32,2017/1/9 15:25,95.39
10.185.10.32,2017/1/9 15:40,98.67
10.185.10.32,2017/1/9 15:50,92.09
10.185.10.32,2017/1/9 16:05,99.54
10.185.10.32,2017/1/9 16:20,93.67
10.185.10.32,2017/1/9 16:30,96.87
10.185.10.32,2017/1/9 16:45,96.78
10.185.10.32,2017/1/9 16:55,91.57
10.185.10.32,2017/1/9 17:10,90.95
10.185.10.32,2017/1/9 17:25,95.13
10.185.10.32,2017/1/9 17:50,93.75
10.185.10.32,2017/1/9 18:00,94.10
10.185.10.32,2017/1/9 18:30,97.07
10.185.10.32,2017/1/9 18:40,90.55
10.185.10.32,2017/1/9 18:55,93.51
10.185.10.32,2017/1/9 19:05,96.01
10.185.10.32,2017/1/9 19:20,98.18
10.185.10.32,2017/1/9 19:35,95.93
10.185.10.32,2017/1/9 19:45,93.18
10.185.10.32,2017/1/9 20:00,95.26
10.185.10.32,2017/1/9 20:10,91.92
10.185.10.32,2017/1/9 20:25,92.88
10.185.10.32,2017/1/9 20:40,92.44
10.185.10.32,2017/1/9 20:50,91.88
10.185.10.32,2017/1/9 21:05,96.44
10.185.10.32,2017/1/9 21:15,96.58
10.185.10.32,2017/1/9 21:30,94.22
10.185.10.32,2017/1/9 21:45,97.29
10.185.10.32,2017/1/9 21:55,98.22
10.185.10.32,2017/1/9 22:10,97.34
10.185.10.32,2017/1/9 22:35,94.32
10.185.10.32,2017/1/9 22:50,95.78
10.185.10.32,2017/1/9 23:00,91.24
10.185.10.32,2017/1/9 23:15,96.24
10.185.10.32,2017/1/9 23:25,93.72
10.185.10.32,2017/1/9 23:40,90.12
10.185.10.32,2017/1/9 23:55,94.59
10.185.10.32,2017/1/10 0:05,98.93
10.185.10.32,2017/1/10 0:20,97.04
10.185.10.32,2017/1/10 0:30,97.49
