IP地址,采集时间,内存使用率
10.185.10.32,2017/1/8 1:00,44.63
10.185.10.32,2017/1/8 1:10,44.64
10.185.10.32,2017/1/8 1:25,44.64
10.185.10.32,2017/1/8 1:35,44.63
10.185.10.32,2017/1/8 1:50,44.64
10.185.10.32,2017/1/8 2:05,44.65
10.185.10.32,2017/1/8 2:15,44.65
10.185.10.32,2017/1/8 2:30,44.65
10.185.10.32,2017/1/8 2:40,44.66
10.185.10.32,2017/1/8 2:55,44.66
10.185.10.32,2017/1/8 3:10,44.66
10.185.10.32,2017/1/8 3:20,44.67
10.185.10.32,2017/1/8 3:35,44.66
10.185.10.32,2017/1/8 3:45,44.67
10.185.10.32,2017/1/8 4:00,44.67
10.185.10.32,2017/1/8 4:15,44.68
10.185.10.32,2017/1/8 4:25,44.7
10.185.10.32,2017/1/8 4:40,44.7
10.185.10.32,2017/1/8 5:05,44.73
10.185.10.32,2017/1/8 5:20,44.73
10.185.10.32,2017/1/8 5:30,44.73
10.185.10.32,2017/1/8 5:45,44.73
10.185.10.32,2017/1/8 5:55,44.73
10.185.10.32,2017/1/8 6:10,44.74
10.185.10.32,2017/1/8 6:25,44.74
10.185.10.32,2017/1/8 6:35,44.74
10.185.10.32,2017/1/8 6:50,44.74
10.185.10.32,2017/1/8 7:00,44.75
10.185.10.32,2017/1/8 7:15,44.75
10.185.10.32,2017/1/8 7:30,44.74
10.185.10.32,2017/1/8 7:40,44.74
10.185.10.32,2017/1/8 7:55,44.76
10.185.10.32,2017/1/8 8:05,44.76
10.185.10.32,2017/1/8 8:20,44.79
10.185.10.32,2017/1/8 8:35,44.76
10.185.10.32,2017/1/8 8:45,44.78
10.185.10.32,2017/1/8 9:00,44.77
10.185.10.32,2017/1/8 9:25,44.79
10.185.10.32,2017/1/8 9:40,44.79
10.185.10.32,2017/1/8 9:50,44.79
10.185.10.32,2017/1/8 10:05,44.79
10.185.10.32,2017/1/8 10:15,44.8
10.185.10.32,2017/1/8 10:30,44.8
10.185.10.32,2017/1/8 10:45,44.8
10.185.10.32,2017/1/8 10:55,44.81
10.185.10.32,2017/1/8 11:10,44.82
10.185.10.32,2017/1/8 11:20,44.83
10.185.10.32,2017/1/8 11:35,44.82
10.185.10.32,2017/1/8 12:00,44.83
10.185.10.32,2017/1/8 12:10,44.84
10.185.10.32,2017/1/8 12:25,44.83
10.185.10.32,2017/1/8 12:35,44.83
10.185.10.32,2017/1/8 12:50,44.83
10.185.10.32,2017/1/8 13:05,44.83
10.185.10.32,2017/1/8 13:15,44.84
10.185.10.32,2017/1/8 13:30,44.84
10.185.10.32,2017/1/8 13:40,44.84
10.185.10.32,2017/1/8 13:55,44.86
10.185.10.32,2017/1/8 14:10,44.86
10.185.10.32,2017/1/8 14:20,44.87
10.185.10.32,2017/1/8 14:35,44.86
10.185.10.32,2017/1/8 14:45,44.86
10.185.10.32,2017/1/8 15:00,44.88
10.185.10.32,2017/1/8 15:15,44.89
10.185.10.32,2017/1/8 15:25,44.87
10.185.10.32,2017/1/8 15:40,44.88
10.185.10.32,2017/1/8 15:50,44.88
10.185.10.32,2017/1/8 16:05,44.88
10.185.10.32,2017/1/8 16:20,44.88
10.185.10.32,2017/1/8 16:30,44.88
10.185.10.32,2017/1/8 16:45,44.89
10.185.10.32,2017/1/8 16:55,44.91
10.185.10.32,2017/1/8 17:10,44.92
10.185.10.32,2017/1/8 17:25,44.92
10.185.10.32,2017/1/8 17:35,44.91
10.185.10.32,2017/1/8 17:50,44.91
10.185.10.32,2017/1/8 18:00,44.92
10.185.10.32,2017/1/8 18:15,44.92
10.185.10.32,2017/1/8 18:30,44.96
10.185.10.32,2017/1/8 18:40,44.96
10.185.10.32,2017/1/8 18:55,44.97
10.185.10.32,2017/1/8 19:05,44.93
10.185.10.32,2017/1/8 19:20,44.94
10.185.10.32,2017/1/8 19:35,44.93
10.185.10.32,2017/1/8 19:45,44.93
10.185.10.32,2017/1/8 20:00,44.95
10.185.10.32,2017/1/8 20:10,44.97
10.185.10.32,2017/1/8 20:25,44.97
10.185.10.32,2017/1/8 20:40,44.95
10.185.10.32,2017/1/8 20:50,44.96
10.185.10.32,2017/1/8 21:05,44.97
10.185.10.32,2017/1/8 21:15,44.96
10.185.10.32,2017/1/8 21:30,44.97
10.185.10.32,2017/1/8 21:45,44.96
